demName	d.gone.neg	d.gone.neg.l1	d.gone.neg.l2	d.neg.frac.l3	camp.length	deminc	base.poll	year.2002	year.2004	year.2006	base.und	office	demprcnt	time
Sarbanes	0	0	0	0	36	1	67.44186047	0	0	0	14	1	63.23353337	3
Sebelius	1	1	1	0	14	0	65.71428571	1	0	0	30	0	53.97147631	3
Shaheen	1	1	1	1	9	1	56.74560733	0	0	0	19	0	52.69028142	3
Siegelman	1	1	1	0.277777778	23	1	45.74468085	1	0	0	6	0	49.88369752	3
Stabenow	1	1	1	0.777777778	14	0	47.56097561	0	0	0	18	1	50.82899785	3
Strickland	1	1	1	1	13	0	44.73684211	1	0	0	24	1	47.44649248	3
Taylor	1	1	1	0.083333333	17	0	42.39130435	0	0	1	8	0	39.74224473	3
Tenenbaum	1	1	1	0.466666667	20	0	59.25925926	0	1	0	19	1	45.10797278	3
Titus	1	1	1	0.5	13	0	43.20987654	0	0	1	19	0	47.81937844	3
Townsend	1	1	1	0.75	9	0	48.88848617	1	0	0	9	0	48.04579289	3
Vilsack	1	1	1	0.722222222	23	1	59.5505618	1	0	0	11	0	54.20420616	3
Walters	1	1	0	0.333333333	8	0	36.04651163	1	0	0	14	1	38.78764548	3
Webb	1	1	1	0.117647059	22	0	44.56521739	0	0	1	8	1	50.19917733	3
Weinberg	1	1	1	0	24	0	32	1	0	0	25	1	35.32479517	3
Weygand	0	0	0	0.25	9	0	39.24050633	0	0	0	21	1	41.97559507	3
Whitehouse	1	1	1	0.5	9	0	52.44411527	0	0	1	13.5	1	53.5196346	3
Wise	1	1	1	0.045454545	27	0	51.1627907	0	0	0	14	0	51.49790408	3
Akaka	0	0	0	0	8	1	65.90909091	0	0	1	12	1	62.51876336	4
Angelides	1	1	0	0.736842105	23	0	45.88235294	0	0	1	15	0	41.04506576	4
Baldacci	1	1	1	0.277777778	22	1	51.13636364	0	0	1	12	0	55.7794299	4
Barnes	1	1	1	0.125	12	1	59.74025974	1	0	0	23	0	47.35652352	4
Baxley	1	1	0	0.25	24	0	43.02325581	0	0	1	14	0	41.9840343	4
Beebe	1	1	1	0.142857143	25	0	56.32183908	0	0	1	13	0	57.75839529	4
Bell	1	1	1	0	36	0	34.54545455	0	0	1	45	0	43.28646054	4
Bernstein	1	1	0	1	10	0	41.66666667	0	0	0	16	1	41.87736292	4
Bingaman	0	0	0	0	23	1	64.94845361	0	0	0	3	1	61.72884342	4
Blagojevich	1	1	1	0.233333333	34	0	50.63291139	1	0	0	21	0	53.66182452	4
Bowles	1	1	1	0.8	9	0	41.66666667	1	0	0	16	1	45.63100032	4
Boxer	0	0	0	0	36	1	57.35142119	0	1	0	12	1	60.42337979	4
Bradbury	1	0	0	0.19047619	25	0	42.85714286	1	0	0	16	1	41.33620494	4
Brady	1	1	1	0.095238095	25	0	30	0	0	1	40	0	45.57717256	4
Bredesen	1	1	1	0.272727273	15	0	56.06060606	1	0	0	34	0	51.55413472	4
Brown	1	1	1	0.333333333	28	0	51.76470588	0	0	1	15	1	56.17573237	4
Byrd	0	0	0	0.086956522	27	1	62.63736264	0	0	1	9	1	65.64669336	4
Cantwell	1	1	1	1	8	0	46.19699042	0	0	0	14.5	1	50.04650251	4
Cardin	1	1	1	0.6	9	0	54.90369845	0	0	1	8	1	55.08641441	4
Carnahan	1	1	1	0.4	14	1	55.91397849	1	0	0	7	1	49.42519783	4
Carper	1	1	0	0.5	10	0	49.41176471	0	0	0	15	1	55.97154936	4
Carson	1	1	1	0.454545455	15	0	42.2310757	0	1	0	24.7	1	43.872773	4
Carter	1	0	0	0	13	0	37.93103448	0	0	1	13	1	42.54360882	4
Casey	1	1	1	0.363636364	26	0	62.92134831	0	0	1	11	1	58.68375839	4
Castor	1	1	1	0.666666667	10	0	51.08695652	0	1	0	10	1	49.43093584	4
Clavelle	1	1	1	0.75	8	0	41.46341463	0	1	0	18	0	39.25726159	4
Cleland	1	1	1	0.375	12	1	64.28571429	1	0	0	16	1	46.52283314	4
Clement	1	1	1	0.090909091	15	0	43.52941176	1	0	0	15	1	44.96439188	4
Clinton	1	1	1	1	9	0	52.74725275	0	0	0	9	1	56.24024469	4
Corzine	1	1	1	0.157894737	23	0	54.43037975	0	0	0	21	1	51.55159263	4
Culver	1	1	1	0.421052632	23	0	54.44444444	0	0	1	10	0	54.90117189	4
Curry	1	0	0	0.6	9	0	41.33333333	1	0	0	25	0	43.89144253	4
Davis	1	1	1	0.5625	36	1	48.8372093	1	0	0	14	0	52.71276452	4
Dayton	1	1	1	1	9	0	51.76470588	0	0	0	15	1	53.00756788	4
DeStefano	1	1	1	0.2	14	0	34.93083004	0	0	1	10	0	35.93174214	4
Doyle	1	0	1	0.6	9	0	50.68493151	1	0	0	27	0	52.14082775	4
Durbin	1	0	0	0	34	1	63.41463415	1	0	0	18	1	61.34378238	4
Easley	1	1	1	0.333333333	28	0	58.75	0	0	0	20	0	52.92887174	4
Farmer	1	1	1	0	14	0	39.36170213	0	1	0	6	1	43.27763559	4
Feingold	1	1	1	0.5	8	1	53.125	0	1	0	4	1	55.64975391	4
Feinstein	0	0	0	0	36	1	61.11111111	0	0	0	10	1	60.4164929	4
Fernald	1	0	0	0	9	0	42.1686747	1	0	0	17	0	39.4640276	4
Fingerhut	0	0	0	0	36	0	41.30434783	0	1	0	8	1	36.14605872	4
Fisher	1	1	1	0.285714286	25	0	39.20270024	1	0	0	13	0	46.9682069	4
Fogarty	1	1	1	0.2	9	0	46.04743083	0	0	1	10	0	51.00863734	4
Ford	1	1	1	0.727272727	15	0	43.90374332	0	0	1	19	1	48.62049399	4
Granholm	1	1	1	0.8	14	0	51.94805195	1	0	0	23	0	52.03337686	4
Gregoire	1	1	1	0.75	8	0	53.78247151	0	1	0	12	0	50.00242119	4
Hagan	0	1	0	0	27	0	36.25	1	0	0	20	0	39.87593534	4
Harkin	1	1	1	0.421052632	23	1	58.24175824	1	0	0	9	1	55.30778211	4
Hatch	1	1	1	1	9	0	50.58139535	0	0	1	15	0	49.48163778	4
Heath	1	1	0	0	13	0	33.33333333	1	0	0	16	0	34.95502796	4
Henry	1	1	0	0.25	8	0	36.23188406	1	0	0	31	0	50.38598188	4
Hirono	1	1	1	0.75	8	0	41.89189189	1	0	0	26	0	47.69524447	4
Hodges	1	1	1	0.8125	20	1	51.1627907	1	0	0	14	0	47.09541806	4
Hoeffel	1	0	0	0.166666667	28	0	43.47826087	0	1	0	8	1	44.38171846	4
Holden	1	1	1	1	14	0	53.75	0	0	0	20	0	50.46944934	4
Kernan	1	1	1	0.130434783	27	1	49.33333333	0	1	0	25	0	46.08964206	4
Kirk	1	1	1	0.074074074	31	0	52.43902439	1	0	0	18	1	43.92986435	4
Klink	1	1	0	0.035714286	32	0	41.89189189	0	0	0	26	1	46.47333223	4
Klobuchar	0	0	1	0.4	9	0	61.36363636	0	0	1	12	1	60.47991442	4
Kohl	0	0	0	0	9	1	64.51612903	0	0	1	7	1	69.5436076	4
Kulongoski	1	1	1	0.19047619	25	0	67.81609195	1	0	0	13	0	51.5093904	4
Lautenberg	1	1	1	0.368421053	23	0	53.1897222	1	0	0	13.75	1	55.07477867	4
Lincoln	0	0	0	0	25	1	63.04347826	0	1	0	8	1	55.91607002	4
Lynch	1	1	1	0.75	8	0	48.35164835	0	1	0	9	0	51.07447319	4
Majette	1	1	1	0.111111111	13	0	44.25287356	0	1	0	13	1	40.47681082	4
Matheson	1	0	0	0	20	0	41.57303371	0	1	0	11	0	41.72666527	4
McBride	1	1	1	0.2	9	0	47.25274725	1	0	0	9	0	43.7896935	4
McCall	0	1	1	0.4	9	0	40	1	0	0	20	0	40.90553589	4
McCaskill	1	1	1	0.4	14	0	47.31182796	0	1	0	7	0	48.49140846	4
Menendez	1	1	1	0.210526316	23	1	48.05194805	0	0	1	23	1	54.61808281	4
Mikulski	1	1	1	0.03125	36	1	68.60465116	0	1	0	14	1	65.77176837	4
Miller	1	1	1	0	17	0	63.26558266	0	0	0	14	1	60.55717482	4
Minner	1	1	1	0	10	0	64.38356164	0	0	0	27	0	59.84895316	4
Moe	0	0	0	0	9	0	49.09090909	1	0	0	45	0	45.1062507	4
Mongiardo	1	1	1	0.095238095	25	0	44.82758621	0	1	0	13	1	49.34317736	4
Moore	1	1	1	0.111111111	22	0	43.33333333	0	0	1	10	0	44.83053209	4
Murray	1	1	1	1	8	1	60.63829787	0	1	0	6	1	56.26520354	4
Napolitano	1	1	1	0.6	9	0	54.83870968	1	0	0	38	0	50.52728131	4
Nelson	1	1	1	1	10	0	55	0	0	0	20	1	52.49470792	4
O'Bannon	0	1	1	0.208333333	28	1	55.42168675	0	0	0	17	0	57.57884392	4
O'Brien	1	1	1	0	8	0	51.72413793	1	0	0	13	0	47.44926416	4
O'Malley	0	0	0	0	9	0	53.5188216	0	0	1	7.5	0	53.30407192	4
Orton	0	0	0	0	20	0	34.52380952	0	0	0	16	0	43.11356479	4
Parker	0	0	0	0	20	0	42.30769231	1	0	0	22	1	40.47335252	4
Pederson	1	1	1	1	9	0	45.53648599	0	0	1	10	1	44.91873397	4
Pingree	1	0	1	0.166666667	22	0	35.34303534	1	0	0	24	1	41.56435247	4
Pryor	1	1	1	0.619047619	25	0	45.74468085	1	0	0	6	1	54.09355452	4
Racine	1	1	0	0	9	0	54.83870968	1	0	0	38	0	48.5395595	4
Rendell	1	1	1	0.428571429	25	0	53.875806	1	0	0	15.5	0	54.62260927	4
Richardson	0	1	1	0.263157895	23	0	62.76595745	1	0	0	6	0	58.69645475	4
Ritter	1	1	1	0.4	14	0	55.17241379	0	0	1	13	0	58.65961418	4
Robb	1	1	1	0.5	22	1	48.8372093	0	0	0	14	1	47.71094103	4
Salazar	1	1	1	0.444444444	13	0	49.47368421	0	1	0	5	1	52.43760961	4
Sanchez	1	1	1	0.580645161	35	0	41.37931034	1	0	0	13	0	40.87239457	4
Sanders	1	1	1	0.333333333	22	0	40.90909091	1	0	0	12	1	44.8200197	4
Sarbanes	0	0	0	0	36	1	67.44186047	0	0	0	14	1	63.23353337	4
Sebelius	1	1	1	0.1	14	0	65.71428571	1	0	0	30	0	53.97147631	4
Shaheen	1	1	1	1	9	1	56.74560733	0	0	0	19	0	52.69028142	4
Siegelman	1	1	1	0.315789474	23	1	45.74468085	1	0	0	6	0	49.88369752	4
Stabenow	1	1	1	0.8	14	0	47.56097561	0	0	0	18	1	50.82899785	4
Strickland	1	1	1	1	13	0	44.73684211	1	0	0	24	1	47.44649248	4
Taylor	1	1	1	0.153846154	17	0	42.39130435	0	0	1	8	0	39.74224473	4
Tenenbaum	1	1	1	0.5	20	0	59.25925926	0	1	0	19	1	45.10797278	4
Titus	1	1	1	0.555555556	13	0	43.20987654	0	0	1	19	0	47.81937844	4
Townsend	1	1	1	0.8	9	0	48.88848617	1	0	0	9	0	48.04579289	4
Vilsack	1	1	1	0.736842105	23	1	59.5505618	1	0	0	11	0	54.20420616	4
Walters	1	1	1	0.25	8	0	36.04651163	1	0	0	14	1	38.78764548	4
Webb	1	1	1	0.166666667	22	0	44.56521739	0	0	1	8	1	50.19917733	4
Weinberg	1	1	1	0.05	24	0	32	1	0	0	25	1	35.32479517	4
Weygand	0	0	0	0.2	9	0	39.24050633	0	0	0	21	1	41.97559507	4
Whitehouse	1	1	1	0.6	9	0	52.44411527	0	0	1	13.5	1	53.5196346	4
Wise	1	1	1	0.086956522	27	0	51.1627907	0	0	0	14	0	51.49790408	4
Akaka	0	0	0	0	8	1	65.90909091	0	0	1	12	1	62.51876336	5
Angelides	0	1	1	0.7	23	0	45.88235294	0	0	1	15	0	41.04506576	5
Baldacci	0	1	1	0.315789474	22	1	51.13636364	0	0	1	12	0	55.7794299	5
Barnes	1	1	1	0.222222222	12	1	59.74025974	1	0	0	23	0	47.35652352	5
Baxley	0	1	1	0.238095238	24	0	43.02325581	0	0	1	14	0	41.9840343	5
Beebe	0	1	1	0.181818182	25	0	56.32183908	0	0	1	13	0	57.75839529	5
Bell	0	1	1	0.03030303	36	0	34.54545455	0	0	1	45	0	43.28646054	5
Bernstein	0	1	1	0.857142857	10	0	41.66666667	0	0	0	16	1	41.87736292	5
Bingaman	0	0	0	0	23	1	64.94845361	0	0	0	3	1	61.72884342	5
Blagojevich	0	1	1	0.258064516	34	0	50.63291139	1	0	0	21	0	53.66182452	5
Bowles	1	1	1	0.833333333	9	0	41.66666667	1	0	0	16	1	45.63100032	5
Boxer	0	0	0	0	36	1	57.35142119	0	1	0	12	1	60.42337979	5
Bradbury	1	1	0	0.181818182	25	0	42.85714286	1	0	0	16	1	41.33620494	5
Brady	0	0	0	0	24	0	45.45454545	1	0	0	12	0	42.57892218	5
Bredesen	0	1	1	0.333333333	15	0	56.06060606	1	0	0	34	0	51.55413472	5
Brown	0	1	1	0.36	28	0	51.76470588	0	0	1	15	1	56.17573237	5
Byrd	0	0	0	0.083333333	27	1	62.63736264	0	0	1	9	1	65.64669336	5
Cantwell	0	1	1	1	8	0	46.19699042	0	0	0	14.5	1	50.04650251	5
Cardin	0	1	1	0.666666667	9	0	54.90369845	0	0	1	8	1	55.08641441	5
Carnahan	1	1	1	0.454545455	14	1	55.91397849	1	0	0	7	1	49.42519783	5
Carper	0	1	1	0.428571429	10	0	49.41176471	0	0	0	15	1	55.97154936	5
Carson	1	1	1	0.5	15	0	42.2310757	0	1	0	24.7	1	43.872773	5
Carter	0	1	0	0	13	0	37.93103448	0	0	1	13	1	42.54360882	5
Casey	0	1	1	0.391304348	26	0	62.92134831	0	0	1	11	1	58.68375839	5
Castor	1	1	1	0.714285714	10	0	51.08695652	0	1	0	10	1	49.43093584	5
Clavelle	0	1	1	0.8	8	0	41.46341463	0	1	0	18	0	39.25726159	5
Cleland	1	1	1	0.444444444	12	1	64.28571429	1	0	0	16	1	46.52283314	5
Clement	1	1	1	0.166666667	15	0	43.52941176	1	0	0	15	1	44.96439188	5
Clinton	0	1	1	1	9	0	52.74725275	0	0	0	9	1	56.24024469	5
Corzine	0	1	1	0.2	23	0	54.43037975	0	0	0	21	1	51.55159263	5
Culver	0	1	1	0.45	23	0	54.44444444	0	0	1	10	0	54.90117189	5
Curry	0	1	0	0.5	9	0	41.33333333	1	0	0	25	0	43.89144253	5
Davis	1	1	1	0.575757576	36	1	48.8372093	1	0	0	14	0	52.71276452	5
Dayton	0	1	1	1	9	0	51.76470588	0	0	0	15	1	53.00756788	5
DeStefano	0	1	1	0.272727273	14	0	34.93083004	0	0	1	10	0	35.93174214	5
Doyle	1	1	0	0.666666667	9	0	50.68493151	1	0	0	27	0	52.14082775	5
Durbin	1	1	0	0	34	1	63.41463415	1	0	0	18	1	61.34378238	5
Easley	0	1	1	0.36	28	0	58.75	0	0	0	20	0	52.92887174	5
Farmer	1	1	1	0.090909091	14	0	39.36170213	0	1	0	6	1	43.27763559	5
Feingold	1	1	1	0.6	8	1	53.125	0	1	0	4	1	55.64975391	5
Feinstein	0	0	0	0	36	1	61.11111111	0	0	0	10	1	60.4164929	5
Fernald	1	1	0	0	9	0	42.1686747	1	0	0	17	0	39.4640276	5
Fingerhut	0	0	0	0	36	0	41.30434783	0	1	0	8	1	36.14605872	5
Fisher	1	1	1	0.318181818	25	0	39.20270024	1	0	0	13	0	46.9682069	5
Fogarty	0	1	1	0.333333333	9	0	46.04743083	0	0	1	10	0	51.00863734	5
Ford	0	1	1	0.75	15	0	43.90374332	0	0	1	19	1	48.62049399	5
Granholm	1	1	1	0.818181818	14	0	51.94805195	1	0	0	23	0	52.03337686	5
Gregoire	1	1	1	0.8	8	0	53.78247151	0	1	0	12	0	50.00242119	5
Hagan	0	0	1	0	27	0	36.25	1	0	0	20	0	39.87593534	5
Harkin	1	1	1	0.45	23	1	58.24175824	1	0	0	9	1	55.30778211	5
Hatch	0	1	1	1	9	0	50.58139535	0	0	1	15	0	49.48163778	5
Heath	1	1	1	0	13	0	33.33333333	1	0	0	16	0	34.95502796	5
Henry	1	1	1	0.2	8	0	36.23188406	1	0	0	31	0	50.38598188	5
Hirono	1	1	1	0.8	8	0	41.89189189	1	0	0	26	0	47.69524447	5
Hodges	1	1	1	0.823529412	20	1	51.1627907	1	0	0	14	0	47.09541806	5
Hoeffel	1	1	0	0.16	28	0	43.47826087	0	1	0	8	1	44.38171846	5
Holden	0	1	1	1	14	0	53.75	0	0	0	20	0	50.46944934	5
Kernan	1	1	1	0.166666667	27	1	49.33333333	0	1	0	25	0	46.08964206	5
Kirk	0	1	1	0.107142857	31	0	52.43902439	1	0	0	18	1	43.92986435	5
Klink	0	1	1	0.034482759	32	0	41.89189189	0	0	0	26	1	46.47333223	5
Klobuchar	0	0	0	0.5	9	0	61.36363636	0	0	1	12	1	60.47991442	5
Kohl	0	0	0	0	9	1	64.51612903	0	0	1	7	1	69.5436076	5
Kulongoski	1	1	1	0.227272727	25	0	67.81609195	1	0	0	13	0	51.5093904	5
Lautenberg	1	1	1	0.4	23	0	53.1897222	1	0	0	13.75	1	55.07477867	5
Lincoln	0	0	0	0	25	1	63.04347826	0	1	0	8	1	55.91607002	5
Lynch	1	1	1	0.8	8	0	48.35164835	0	1	0	9	0	51.07447319	5
Majette	1	1	1	0.2	13	0	44.25287356	0	1	0	13	1	40.47681082	5
Matheson	1	1	0	0	20	0	41.57303371	0	1	0	11	0	41.72666527	5
McBride	1	1	1	0.333333333	9	0	47.25274725	1	0	0	9	0	43.7896935	5
McCall	0	0	1	0.5	9	0	40	1	0	0	20	0	40.90553589	5
McCaskill	1	1	1	0.454545455	14	0	47.31182796	0	1	0	7	0	48.49140846	5
Menendez	0	1	1	0.25	23	1	48.05194805	0	0	1	23	1	54.61808281	5
Mikulski	1	1	1	0.060606061	36	1	68.60465116	0	1	0	14	1	65.77176837	5
Miller	0	1	1	0.071428571	17	0	63.26558266	0	0	0	14	1	60.55717482	5
Minner	0	1	1	0.142857143	10	0	64.38356164	0	0	0	27	0	59.84895316	5
Moe	0	0	0	0	9	0	49.09090909	1	0	0	45	0	45.1062507	5
Mongiardo	1	1	1	0.136363636	25	0	44.82758621	0	1	0	13	1	49.34317736	5
Moore	0	1	1	0.157894737	22	0	43.33333333	0	0	1	10	0	44.83053209	5
Murray	0	1	1	1	8	1	60.63829787	0	1	0	6	1	56.26520354	5
Napolitano	1	1	1	0.666666667	9	0	54.83870968	1	0	0	38	0	50.52728131	5
Nelson	0	1	1	1	10	0	55	0	0	0	20	1	52.49470792	5
O'Bannon	0	0	1	0.24	28	1	55.42168675	0	0	0	17	0	57.57884392	5
O'Brien	0	1	1	0.2	8	0	51.72413793	1	0	0	13	0	47.44926416	5
O'Malley	0	0	0	0	9	0	53.5188216	0	0	1	7.5	0	53.30407192	5
Orton	0	0	0	0	20	0	34.52380952	0	0	0	16	0	43.11356479	5
Parker	0	0	0	0	20	0	42.30769231	1	0	0	22	1	40.47335252	5
Pederson	0	1	1	1	9	0	45.53648599	0	0	1	10	1	44.91873397	5
Pingree	1	1	0	0.210526316	22	0	35.34303534	1	0	0	24	1	41.56435247	5
Pryor	1	1	1	0.636363636	25	0	45.74468085	1	0	0	6	1	54.09355452	5
Racine	0	1	1	0	9	0	54.83870968	1	0	0	38	0	48.5395595	5
Rendell	0	1	1	0.454545455	25	0	53.875806	1	0	0	15.5	0	54.62260927	5
Richardson	0	0	1	0.3	23	0	62.76595745	1	0	0	6	0	58.69645475	5
Ritter	0	1	1	0.454545455	14	0	55.17241379	0	0	1	13	0	58.65961418	5
Robb	0	1	1	0.526315789	22	1	48.8372093	0	0	0	14	1	47.71094103	5
Salazar	1	1	1	0.5	13	0	49.47368421	0	1	0	5	1	52.43760961	5
Sanchez	0	1	1	0.59375	35	0	41.37931034	1	0	0	13	0	40.87239457	5
Sanders	1	1	1	0.368421053	22	0	40.90909091	1	0	0	12	1	44.8200197	5
Sarbanes	0	0	0	0	36	1	67.44186047	0	0	0	14	1	63.23353337	5
Sebelius	0	1	1	0.181818182	14	0	65.71428571	1	0	0	30	0	53.97147631	5
Shaheen	1	1	1	1	9	1	56.74560733	0	0	0	19	0	52.69028142	5
Siegelman	1	1	1	0.35	23	1	45.74468085	1	0	0	6	0	49.88369752	5
Stabenow	0	1	1	0.818181818	14	0	47.56097561	0	0	0	18	1	50.82899785	5
Strickland	1	1	1	1	13	0	44.73684211	1	0	0	24	1	47.44649248	5
Taylor	0	1	1	0.214285714	17	0	42.39130435	0	0	1	8	0	39.74224473	5
Tenenbaum	1	1	1	0.529411765	20	0	59.25925926	0	1	0	19	1	45.10797278	5
Titus	0	1	1	0.6	13	0	43.20987654	0	0	1	19	0	47.81937844	5
Townsend	1	1	1	0.833333333	9	0	48.88848617	1	0	0	9	0	48.04579289	5
Vilsack	1	1	1	0.75	23	1	59.5505618	1	0	0	11	0	54.20420616	5
Walters	0	1	1	0.4	8	0	36.04651163	1	0	0	14	1	38.78764548	5
Webb	0	1	1	0.210526316	22	0	44.56521739	0	0	1	8	1	50.19917733	5
Weinberg	1	1	1	0.095238095	24	0	32	1	0	0	25	1	35.32479517	5
Weygand	0	0	0	0.166666667	9	0	39.24050633	0	0	0	21	1	41.97559507	5
Whitehouse	0	1	1	0.666666667	9	0	52.44411527	0	0	1	13.5	1	53.5196346	5
Wise	0	1	1	0.125	27	0	51.1627907	0	0	0	14	0	51.49790408	5
